Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
xgboost,0.8856,0.8899,0.9936,0.9389,0.7482
logistic_regression,0.885,0.887,0.9968,0.9387,0.7415
random_forest,0.8855,0.8866,0.9982,0.9391,0.7308
decision_tree,0.8004,0.8963,0.8754,0.8857,0.5522
