Feature,Importance
0,0.50776875
6,0.38822874
4,0.28376362
1,0.26626438
2,0.23297063
29,0.11884343
22,0.107901745
3,0.09798561
13,0.08699268
5,0.079780646
20,0.06643705
18,0.06495778
16,0.061608493
8,0.05613368
27,0.053234067
10,0.04326846
12,0.03925504
17,0.019276934
9,0.016340008
25,0.016109696
11,0.0143936165
14,0.007203119
7,0.006132794
15,0.0032800662
28,0.0020833618
24,0.0018527436
19,0.0012917987
26,0.0010589373
23,0.0
21,0.0
30,0.0
