Feature_Condition,LIME_Weight,Sample_Index,Data_Index,Predicted_Class,Approval_Prob
LoanAmount <= 66156.00,0.046074328231538286,0,0,Approved,96.4%
43.00 < Age <= 56.00,0.04029964833536435,0,0,Approved,96.4%
Self_Employed=Full-time,0.030527516536724236,0,0,Approved,96.4%
82466.00 < ApplicantIncome <= 116219.00,0.02927445477124842,0,0,Approved,96.4%
HasCoSigner=Yes,0.027974508723627424,0,0,Approved,96.4%
NumCreditLines > 3.00,-0.024476148192599623,0,0,Approved,96.4%
Dependents=Yes,0.021962426517536725,0,0,Approved,96.4%
60.00 < MonthsEmployed <= 90.00,0.021413492736118554,0,0,Approved,96.4%
13.46 < InterestRate <= 19.25,-0.016669706812818527,0,0,Approved,96.4%
HasMortgage=Yes,0.008492967306761351,0,0,Approved,96.4%
24.00 < Loan_Amount_Term <= 36.00,0.00657522595360127,0,0,Approved,96.4%
LoanPurpose=Other,-0.006118665026889614,0,0,Approved,96.4%
Married=Divorced,-0.005819046347794953,0,0,Approved,96.4%
Education=Bachelor's,-0.005484392051496066,0,0,Approved,96.4%
437.00 < Credit_History <= 574.00,-0.005181810462766871,0,0,Approved,96.4%
